name,tier,cost,weight,terrain_id,feature_id,resource_id,faction,description
草地,1,2,10,grassland,,,pastoral,肥沃的草地，适合农业
平原,1,2,10,plains,,,pastoral,均衡的平原，食物和生产力
沙漠,1,1,5,desert,,,wilderness,荒芜沙漠，科技树可开发
冻土,1,1,4,tundra,,,wilderness,寒冷冻土，信仰树可增强
稀树草原,1,2,6,savanna,,,wilderness,粮金混合的开阔草原
高原,1,2,5,plateau,,,highland,科技+生产的高地
草地丘陵,2,3,7,grassland,hills,,highland,草地上的丘陵，可建矿山
平原丘陵,2,3,7,plains,hills,,highland,平原上的丘陵，高生产力
草地森林,2,3,7,grassland,forest,,woodland,茂密森林，可建伐木场
平原森林,2,3,5,plains,forest,,woodland,林间平原，均衡之选
雨林,2,3,4,grassland,rainforest,,woodland,热带雨林，植被邻接
山脉,2,4,5,mountain,,,highland,不可建造，但提供强力邻接
湖泊,2,3,4,lake,,,maritime,内陆水域，商业中心邻接
浅海,2,3,4,coast,,,maritime,可建造水域，港口邻接
火山岩,2,4,4,volcanic,,,highland,高产能火山地形
河谷,2,4,3,river_valley,,,pastoral,稀有高价值地形
小麦草地,2,3,4,grassland,,wheat,pastoral,带小麦的草地，食物充沛
石材丘陵,2,4,4,plains,hills,stone,highland,带石材的丘陵，生产力丰富
鱼群浅海,2,4,3,coast,,fish,maritime,带鱼群的浅海，食物加成
马匹草原,2,4,3,savanna,,horses,wilderness,带马匹的草原，产能+金币
绿洲,3,5,3,desert,oasis,,wilderness,沙漠中的宝地，高食物
宝石丘陵,3,5,3,grassland,hills,gems,highland,带宝石的丘陵，金币可观
丝绸森林,3,5,3,plains,forest,silk,woodland,带丝绸的森林，金币+文化
乳香沙漠,3,4,3,desert,,incense,wilderness,带乳香的沙漠，金币+信仰
珊瑚浅海,3,5,3,coast,reef,,maritime,浅海中的珊瑚礁，科技+金币
地热火山,3,5,3,volcanic,geothermal,,highland,带地热的火山岩，产能+科技
远古遗迹,3,6,2,plains,,ancient_ruins,pastoral,远古遗迹，科技加成
圣地遗址,3,5,2,grassland,,holy_site_relic,pastoral,圣地遗址，信仰加成
洪泛河谷,3,5,3,river_valley,floodplain,,pastoral,河谷洪泛区，超高食物
老林,3,5,2,grassland,old_growth,,woodland,古老森林，产能+科技
香料雨林,3,5,2,savanna,rainforest,spices,woodland,带香料的热带雨林
葡萄丘陵,3,5,2,plains,hills,grapes,highland,带葡萄的丘陵，高金币
大理石高原,3,5,2,plateau,cliff,marble,highland,带大理石的高原，产能+文化
珍珠浅海,3,6,2,coast,reef,pearls,maritime,带珍珠的珊瑚海，金币+信仰
琥珀老林,3,6,2,grassland,old_growth,amber,woodland,带琥珀的老林，金币+科技
茶叶丘陵,3,6,2,grassland,hills,tea,highland,带茶叶的丘陵，文化+信仰
