id,tree,tree_resource,layer,parent_id,name,description,n_effects,effect_types,unlocks,faction_boost,faction_boost_amount,layer_threshold
S-A,science,science,1,,石工术,矿山+1⚙️,1,buff_improvement,,highland,15,4
S-B,science,science,1,,航海术,解锁「渔场」,1,unlock_improvement,fishery,maritime,15,4
S-AA,science,science,2,S-A,深层开采,解锁「采石场」,1,unlock_improvement,quarry,highland,20,20
S-AB,science,science,2,S-A,冶金术,改良升级费用-30%,1,reduce_cost,,highland,20,20
S-BA,science,science,2,S-B,灯塔工程,解锁「灯塔」,1,unlock_improvement,lighthouse,maritime,20,20
S-BB,science,science,2,S-B,港口规划,解锁「港口」区域,1,unlock_district,harbor,maritime,20,20
S-AAA,science,science,3,S-AA,火山冶炼,火山岩+1⚙️+1🔬,1,buff_terrain,,highland,25,60
S-AAB,science,science,3,S-AA,隧道工程,山脉可工作，产出2⚙️,1,make_workable,,highland,25,60
S-ABA,science,science,3,S-AB,标准化生产,区域建造费用-25%,1,reduce_cost,,highland,25,60
S-ABB,science,science,3,S-AB,工业改革,工业区+2⚙️,1,buff_district,,highland,25,60
S-BAA,science,science,3,S-BA,天文观测,解锁「天文台」,1,unlock_improvement,observatory,maritime,25,60
S-BAB,science,science,3,S-BA,珊瑚研究,珊瑚礁+1🔬+1🪙,1,buff_feature,,maritime,25,60
S-BBA,science,science,3,S-BB,水利工程,解锁「水渠」区域,1,unlock_district,aqueduct,maritime,25,60
S-BBB,science,science,3,S-BB,梯田农业,解锁「梯田」,1,unlock_improvement,terrace,maritime,25,60
S-AAAA,science,science,4,S-AAA,地质勘探,采石场每相邻volcanic: +1⚙️,1,add_adjacency,,highland,30,150
S-AAAB,science,science,4,S-AAA,矿脉网络,矿山每相邻mine: +1⚙️,1,add_adjacency,,highland,30,150
S-AABA,science,science,4,S-AAB,山脉学府,学院每相邻mountain: 额外+1🔬,1,add_adjacency,,highland,30,150
S-AABB,science,science,4,S-AAB,高原开发,高原+1⚙️+1🔬,1,buff_terrain,,highland,30,150
S-ABAA,science,science,4,S-ABA,军事工程,解锁「军营」区域,1,unlock_district,barracks,highland,30,150
S-ABAB,science,science,4,S-ABA,高效建材,所有建造费用额外-20%,1,reduce_cost,,highland,30,150
S-ABBA,science,science,4,S-ABB,蒸汽动力,所有改良+1⚙️,1,buff_all_improvements,,highland,30,150
S-ABBB,science,science,4,S-ABB,精密仪器,学院+2🔬,1,buff_district,,highland,30,150
S-BAAA,science,science,4,S-BAA,深空探索,天文台+2🔬,1,buff_improvement,,maritime,30,150
S-BAAB,science,science,4,S-BAA,海洋科学,浅海+1🔬+1🌾,1,buff_terrain,,maritime,30,150
S-BABA,science,science,4,S-BAB,远洋航行,深海可工作，产出1🔬+1🪙,1,make_workable,,maritime,30,150
S-BABB,science,science,4,S-BAB,航海图鉴,灯塔每相邻water: 额外+1🔬,1,add_adjacency,,maritime,30,150
S-BBAA,science,science,4,S-BBA,大坝工程,水渠每相邻farm: +1🌾,1,add_adjacency,,maritime,30,150
S-BBAB,science,science,4,S-BBA,灌溉网络,农田每相邻water: +1🌾,1,add_adjacency,,maritime,30,150
S-BBBA,science,science,4,S-BBB,阶梯灌溉,梯田+1🌾+1⚙️,1,buff_improvement,,maritime,30,150
S-BBBB,science,science,4,S-BBB,高山水库,梯田每相邻mountain: 额外+1🌾,1,add_adjacency,,maritime,30,150
P-A,policy,culture,1,,贸易政策,商站+1🪙,1,buff_improvement,,wilderness,15,6
P-B,policy,culture,1,,风力利用,解锁「风车」,1,unlock_improvement,windmill,pastoral,15,6
P-AA,policy,culture,2,P-A,自由贸易,商业中心每相邻trading_post: +1🪙,1,add_adjacency,,wilderness,20,25
P-AB,policy,culture,2,P-A,葡萄种植,解锁「葡萄园」,1,unlock_improvement,vineyard,wilderness,20,25
P-BA,policy,culture,2,P-B,大众娱乐,解锁「娱乐中心」,1,unlock_district,entertainment,pastoral,20,25
P-BB,policy,culture,2,P-B,文教兴邦,所有区域+1🎭,1,buff_district,,pastoral,20,25
P-AAA,policy,culture,3,P-AA,丝路贸易,沙漠+1🪙+1🎭,1,buff_terrain,,wilderness,25,70
P-AAB,policy,culture,3,P-AA,东方集市,解锁「集市」,1,unlock_improvement,bazaar,wilderness,25,70
P-ABA,policy,culture,3,P-AB,酿酒工艺,葡萄园+1🪙+1🎭,1,buff_improvement,,wilderness,25,70
P-ABB,policy,culture,3,P-AB,奢侈品税,所有luxury_resource额外+1🪙,1,buff_feature,,wilderness,25,70
P-BAA,policy,culture,3,P-BA,节庆文化,娱乐中心+2🎭,1,buff_district,,pastoral,25,70
P-BAB,policy,culture,3,P-BA,政府规划,解锁「政府广场」,1,unlock_district,government_plaza,pastoral,25,70
P-BBA,policy,culture,3,P-BB,学术自由,学院的区域邻接从per_two变为per_each,1,modify_adjacency,,pastoral,25,70
P-BBB,policy,culture,3,P-BB,艺术赞助,剧院每相邻natural: 额外+1🎭,1,add_adjacency,,pastoral,25,70
P-AAAA,policy,culture,4,P-AAA,商路帝国,商站每相邻trading_post: +1🪙,1,add_adjacency,,wilderness,30,170
