id,name,production_cost,max_level,upgrade_primary_yield,available_from_start,requires_tags,tags,n_adjacency_rules,yield_gold,yield_food,yield_production,yield_science,yield_culture,yield_faith
farm,农场,8,99,food,True,fertile,farm|improvement,1,0.0,2.0,0.0,0.0,0.0,0.0
mine,矿山,8,99,production,True,hill,improvement|mine,1,0.0,0.0,2.0,0.0,0.0,0.0
trading_post,商站,8,99,gold,True,buildable,improvement|trading_post,1,3.0,0.0,0.0,0.0,0.0,0.0
lumber_mill,伐木场,8,99,production,True,vegetation,improvement|lumber_mill,0,0.0,0.0,2.0,0.0,0.0,0.0
plantation,种植园,8,99,gold,True,buildable|flat,improvement|plantation,1,1.0,1.0,0.0,0.0,0.0,0.0
solar_farm,太阳能农场,10,99,production,True,arid,improvement|solar_farm,1,1.0,0.0,2.0,1.0,0.0,0.0
hunting_ground,猎场,8,99,food,True,cold,hunting_ground|improvement,1,1.0,2.0,0.0,0.0,0.0,0.0
fishery,渔场,8,99,food,False,water,fishery|improvement,1,1.0,2.0,0.0,0.0,0.0,0.0
quarry,采石场,10,99,production,False,volcanic,improvement|quarry,1,0.0,0.0,3.0,0.0,0.0,0.0
lighthouse,灯塔,10,99,science,False,coast,improvement|lighthouse,1,1.0,0.0,0.0,1.0,0.0,0.0
terrace,梯田,10,99,food,False,hill,improvement|terrace,1,0.0,3.0,0.0,0.0,0.0,0.0
observatory,天文台,12,99,science,False,buildable,improvement|observatory,1,0.0,0.0,0.0,3.0,0.0,0.0
monastery,修道院,8,99,faith,False,buildable,improvement|monastery,1,0.0,0.0,0.0,0.0,1.0,2.0
hot_spring,温泉,8,99,faith,False,geothermal,hot_spring|improvement,0,0.0,1.0,0.0,0.0,1.0,1.0
sacred_grove,圣林,8,99,faith,False,vegetation,improvement|sacred_grove,0,0.0,0.0,0.0,1.0,1.0,1.0
windmill,风车,8,99,production,False,flat,improvement|windmill,0,0.0,1.0,2.0,0.0,0.0,0.0
vineyard,葡萄园,10,99,gold,False,fertile|hill,improvement|vineyard,1,2.0,0.0,0.0,0.0,1.0,0.0
bazaar,集市,10,99,gold,False,buildable,bazaar|improvement,1,2.0,0.0,0.0,0.0,1.0,0.0
